player,club,nationality,position,throughBalls
Ki Sung-yueng,Newcastle United,South Korea,MID,2
Miguel Almirón,Newcastle United,Paraguay,MID,1
Jacob Murphy,Newcastle United,England,MID,1
Kenedy,Newcastle United,Brazil,MID,1
Pierre-Emile Højbjerg,Southampton,Denmark,MID,7
Nathan Redmond,Southampton,England,MID,6
Mario Lemina,Southampton,Gabon,MID,3
Mohamed Elyounoussi,Southampton,Norway,MID,2
Steven Davis,Southampton,Northern Ireland,MID,1
Oriol Romeu,Southampton,Spain,MID,1
Christian Eriksen,Tottenham Hotspur,Denmark,MID,24
Dele Alli,Tottenham Hotspur,England,MID,18
Erik Lamela,Tottenham Hotspur,Argentina,MID,6
Eric Dier,Tottenham Hotspur,England,MID,5
Lucas Moura,Tottenham Hotspur,Brazil,MID,5
Harry Winks,Tottenham Hotspur,England,MID,1
Etienne Capoue,Watford,France,MID,5
Abdoulaye Doucouré,Watford,France,MID,5
Roberto Pereyra,Watford,Argentina,MID,3
Will Hughes,Watford,England,MID,2
Felipe Anderson,West Ham United,Brazil,MID,22
Mark Noble,West Ham United,England,MID,10
Robert Snodgrass,West Ham United,Scotland,MID,9
Michail Antonio,West Ham United,England,MID,5
Manuel Lanzini,West Ham United,Argentina,MID,4
Pedro Obiang,West Ham United,Equatorial Guinea,MID,2
Carlos Sánchez,West Ham United,Colombia,MID,1
Jack Wilshere,West Ham United,England,MID,1
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,11
Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,4
João Moutinho,Wolverhampton Wanderers,Portugal,MID,4
Conor Coady,Wolverhampton Wanderers,England,MID,3
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,3
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,3
Nathaniel Clyne,AFC Bournemouth,England,DEF,2
Nathan Aké,AFC Bournemouth,Netherlands,DEF,1
Charlie Daniels,AFC Bournemouth,England,DEF,1
Héctor Bellerín,Arsenal,Spain,DEF,6
Shkodran Mustafi,Arsenal,Germany,DEF,4
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,3
Sokratis,Arsenal,Greece,DEF,1
Lewis Dunk,Brighton and Hove Albion,England,DEF,2
Martín Montoya,Brighton and Hove Albion,Spain,DEF,1
Matthew Lowton,Burnley,England,DEF,3
Ben Mee,Burnley,England,DEF,1
Joe Bennett,Cardiff City,England,DEF,2
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,2
Callum Paterson,Cardiff City,Scotland,DEF,2
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,1
David Luiz,Chelsea,Brazil,DEF,42
Antonio Rüdiger,Chelsea,Germany,DEF,8
Marcos Alonso,Chelsea,Spain,DEF,2
César Azpilicueta,Chelsea,Spain,DEF,2
Emerson,Chelsea,Italy,DEF,2
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,5
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,3
Calum Chambers,Fulham,England,DEF,2
Denis Odoi,Fulham,Belgium,DEF,2
Joe Bryan,Fulham,England,DEF,1
Timothy Fosu-Mensah,Fulham,Netherlands,DEF,1
Maxime Le Marchand,Fulham,France,DEF,1
Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,2
Terence Kongolo,Huddersfield Town,Netherlands,DEF,1
Ricardo Pereira,Leicester City,Portugal,DEF,3
Ben Chilwell,Leicester City,England,DEF,3
Harry Maguire,Leicester City,England,DEF,2
Joel Matip,Liverpool,Cameroon,DEF,4
Trent Alexander-Arnold,Liverpool,England,DEF,3
Andrew Robertson,Liverpool,Scotland,DEF,2
Dejan Lovren,Liverpool,Croatia,DEF,1
Kyle Walker,Manchester City,England,DEF,4
Benjamin Mendy,Manchester City,France,DEF,2
Luke Shaw,Manchester United,England,DEF,2
Ashley Young,Manchester United,England,DEF,2
Victor Lindelöf,Manchester United,Sweden,DEF,1
Chris Smalling,Manchester United,England,DEF,1
Fabian Schär,Newcastle United,Switzerland,DEF,4
Florian Lejeune,Newcastle United,France,DEF,3
Jamaal Lascelles,Newcastle United,England,DEF,2
Javier Manquillo,Newcastle United,Spain,DEF,1
DeAndre Yedlin,Newcastle United,United States,DEF,1
Jan Bednarek,Southampton,Poland,DEF,3
Jannik Vestergaard,Southampton,Denmark,DEF,3
Matt Targett,Southampton,England,DEF,2
Ryan Bertrand,Southampton,England,DEF,1
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,6
Kieran Trippier,Tottenham Hotspur,England,DEF,3
Danny Rose,Tottenham Hotspur,England,DEF,2
Juan Foyth,Tottenham Hotspur,Argentina,DEF,1
Daryl Janmaat,Watford,Netherlands,DEF,1
Declan Rice,West Ham United,England,DEF,2
Fabián Balbuena,West Ham United,Paraguay,DEF,1
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,1
Angelo Ogbonna,West Ham United,Italy,DEF,1
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,3
Willy Boly,Wolverhampton Wanderers,France,DEF,2
Ryan Bennett,Wolverhampton Wanderers,England,DEF,1
Jonny,Wolverhampton Wanderers,Spain,DEF,1
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,1
